ds,y
02/12/1961,316.52
09/12/1961,317.02
16/12/1961,316.94
23/12/1961,317.18
30/12/1961,317.46
06/01/1962,317.99
13/01/1962,318.12
20/01/1962,318.07
27/01/1962,317.78
03/02/1962,318.08
10/02/1962,318.35
17/02/1962,318.92
24/02/1962,319.38
03/03/1962,319.28
10/03/1962,319.46
17/03/1962,319.95
24/03/1962,319.78
31/03/1962,320.27
07/04/1962,320.26
14/04/1962,321.03
21/04/1962,320.78
28/04/1962,320.36
05/05/1962,320.89
12/05/1962,320.78
19/05/1962,321.05
26/05/1962,321.16
02/06/1962,320.91
09/06/1962,320.87
16/06/1962,320.52
23/06/1962,320.15
30/06/1962,320.23
07/07/1962,320.1
14/07/1962,319.95
21/07/1962,319.01
28/07/1962,318.75
04/08/1962,318.68
11/08/1962,317.24
18/08/1962,317.48
15/09/1962,316.65
22/09/1962,315.72
29/09/1962,315.92
06/10/1962,315.1
13/10/1962,315.4
20/10/1962,315.72
27/10/1962,315.78
03/11/1962,315.94
10/11/1962,316.49
17/11/1962,316.92
24/11/1962,317.08
01/12/1962,317.19
08/12/1962,317.31
15/12/1962,317.66
22/12/1962,318.18
05/01/1963,318.54
12/01/1963,318.73
19/01/1963,318.9
26/01/1963,318.82
02/02/1963,318.77
09/02/1963,318.95
23/02/1963,319.37
02/03/1963,319.35
09/03/1963,319.7
16/03/1963,319.8
23/03/1963,320.34
30/03/1963,320.29
06/04/1963,320.38
13/04/1963,320.96
20/04/1963,322.05
27/04/1963,321.92
11/05/1963,321.97
18/05/1963,322.28
25/05/1963,322.27
01/06/1963,322.32
08/06/1963,322.09
15/06/1963,321.83
22/06/1963,320.88
29/06/1963,320.49
06/07/1963,320.12
13/07/1963,319.82
20/07/1963,319.56
27/07/1963,319.06
03/08/1963,318.6
10/08/1963,318.27
17/08/1963,317.73
24/08/1963,317.12
31/08/1963,316.44
07/09/1963,316.81
14/09/1963,315.99
21/09/1963,316.03
28/09/1963,315.93
05/10/1963,316.28
12/10/1963,315.65
19/10/1963,316.14
26/10/1963,316.36
02/11/1963,316.63
09/11/1963,316.83
16/11/1963,317.13
30/11/1963,317.56
07/12/1963,318.07
14/12/1963,318.27
21/12/1963,318.59
28/12/1963,318.74
04/01/1964,319.04
11/01/1964,319.49
18/01/1964,319.88
30/05/1964,322.07
06/06/1964,322.06
27/06/1964,321.57
04/07/1964,321.14
11/07/1964,319.95
18/07/1964,320.28
25/07/1964,320.02
01/08/1964,319.14
15/08/1964,318.61
22/08/1964,318.23
29/08/1964,318.11
05/09/1964,317.48
12/09/1964,316.57
19/09/1964,315.59
26/09/1964,317.01
03/10/1964,316.93
10/10/1964,316.51
17/10/1964,316.86
24/10/1964,317.05
31/10/1964,317.65
07/11/1964,317.77
14/11/1964,317.65
21/11/1964,317.52
28/11/1964,318.11
05/12/1964,318.42
12/12/1964,318.58
19/12/1964,318.93
26/12/1964,318.91
02/01/1965,319.08
09/01/1965,319.17
16/01/1965,319.16
23/01/1965,319.79
30/01/1965,320.12
06/02/1965,320.2
13/02/1965,320.16
20/02/1965,320.7
27/02/1965,320.89
06/03/1965,321.07
13/03/1965,320.98
20/03/1965,320.49
27/03/1965,321.4
03/04/1965,321.95
10/04/1965,322.27
17/04/1965,322.17
24/04/1965,321.86
01/05/1965,322.46
08/05/1965,322.22
15/05/1965,321.94
22/05/1965,321.69
29/05/1965,322.26
05/06/1965,321.87
12/06/1965,321.77
19/06/1965,321.77
26/06/1965,321.99
03/07/1965,321.97
10/07/1965,321.85
17/07/1965,321.76
24/07/1965,320.47
31/07/1965,319.49
07/08/1965,319.47
14/08/1965,318.02
21/08/1965,318.82
28/08/1965,318.73
04/09/1965,318.39
11/09/1965,318.05
18/09/1965,318.26
25/09/1965,316.85
02/10/1965,316.6
09/10/1965,317.26
16/10/1965,317.86
23/10/1965,317.56
30/10/1965,317.63
06/11/1965,318.3
13/11/1965,319.26
20/11/1965,318.99
27/11/1965,319.17
04/12/1965,319.09
11/12/1965,319.37
18/12/1965,319.39
25/12/1965,319.7
01/01/1966,319.69
08/01/1966,320.49
15/01/1966,320.63
22/01/1966,321.09
29/01/1966,321.16
05/02/1966,321.26
12/02/1966,321.75
19/02/1966,321.67
26/02/1966,321.8
05/03/1966,322.1
12/03/1966,322.14
19/03/1966,322.57
26/03/1966,322.86
02/04/1966,323.55
09/04/1966,323.62
16/04/1966,323.88
23/04/1966,323.91
30/04/1966,323.53
07/05/1966,324
14/05/1966,324.1
21/05/1966,323.72
28/05/1966,324.31
04/06/1966,324.02
11/06/1966,323.88
18/06/1966,323.75
25/06/1966,323.32
02/07/1966,322.82
09/07/1966,322.9
06/08/1966,321.31
13/08/1966,320.85
20/08/1966,319.16
27/08/1966,319.64
03/09/1966,319.94
10/09/1966,318.22
17/09/1966,318.46
24/09/1966,318.31
01/10/1966,317.9
08/10/1966,317.9
15/10/1966,318.21
22/10/1966,318.61
29/10/1966,318.39
12/11/1966,319.59
19/11/1966,320.03
26/11/1966,320.24
03/12/1966,320.8
10/12/1966,320.87
17/12/1966,321.16
24/12/1966,321.31
31/12/1966,321.37
07/01/1967,321.92
14/01/1967,322.93
04/02/1967,322.19
11/02/1967,322.23
18/02/1967,322.86
25/02/1967,322.6
04/03/1967,322.94
11/03/1967,322.6
18/03/1967,323.33
25/03/1967,323.24
01/04/1967,323.15
08/04/1967,324.21
15/04/1967,324.41
22/04/1967,324.6
29/04/1967,325.16
06/05/1967,325.26
13/05/1967,324.78
20/05/1967,325.09
27/05/1967,324.94
03/06/1967,324.95
10/06/1967,324.65
17/06/1967,323.31
24/06/1967,323.5
01/07/1967,322.89
08/07/1967,322.85
15/07/1967,322.45
22/07/1967,322.4
29/07/1967,322.04
05/08/1967,321.65
12/08/1967,321.4
19/08/1967,320.48
26/08/1967,320.01
02/09/1967,320.07
09/09/1967,319.43
16/09/1967,319.35
23/09/1967,319.03
30/09/1967,318.81
07/10/1967,318.88
14/10/1967,319.86
21/10/1967,319.47
28/10/1967,319.86
04/11/1967,320.01
11/11/1967,320.34
18/11/1967,320.91
25/11/1967,321.54
02/12/1967,321.4
09/12/1967,321.89
16/12/1967,322.29
23/12/1967,321.98
30/12/1967,322.3
06/01/1968,322.46
13/01/1968,322.5
20/01/1968,322.59
27/01/1968,322.83
03/02/1968,322.66
10/02/1968,323.17
17/02/1968,323.46
24/02/1968,323.18
02/03/1968,323.15
09/03/1968,323.85
16/03/1968,323.85
23/03/1968,324.21
30/03/1968,324.77
06/04/1968,324.79
13/04/1968,325.04
20/04/1968,324.84
27/04/1968,325.45
04/05/1968,325.63
11/05/1968,325.09
18/05/1968,325.52
25/05/1968,325.86
01/06/1968,325.67
08/06/1968,325.71
15/06/1968,325.56
22/06/1968,324.99
29/06/1968,324.63
06/07/1968,324.7
13/07/1968,324.13
20/07/1968,323.94
27/07/1968,323.4
03/08/1968,322.49
10/08/1968,322.27
17/08/1968,322.02
24/08/1968,321.74
31/08/1968,321.42
07/09/1968,320.44
14/09/1968,321.18
21/09/1968,319.78
28/09/1968,319.89
05/10/1968,320.57
12/10/1968,320.52
19/10/1968,320.26
26/10/1968,319.92
02/11/1968,320.7
09/11/1968,320.89
16/11/1968,321.4
23/11/1968,321.78
30/11/1968,322.06
07/12/1968,322.44
14/12/1968,322.91
21/12/1968,323.33
28/12/1968,323.19
04/01/1969,323.39
11/01/1969,324.06
18/01/1969,324.36
25/01/1969,324.14
01/02/1969,324.16
08/02/1969,323.92
15/02/1969,324.37
22/02/1969,324.86
01/03/1969,325.14
08/03/1969,325.58
15/03/1969,325.72
22/03/1969,325.96
29/03/1969,325.89
05/04/1969,326.27
12/04/1969,327.13
19/04/1969,326.58
26/04/1969,326.57
03/05/1969,327.52
10/05/1969,327.82
17/05/1969,326.86
24/05/1969,326.92
31/05/1969,327.43
07/06/1969,326.51
14/06/1969,326.78
21/06/1969,326.73
28/06/1969,326.37
05/07/1969,326.16
12/07/1969,326.07
19/07/1969,325.72
26/07/1969,325.47
02/08/1969,324.5
09/08/1969,324.56
16/08/1969,323.14
23/08/1969,322.56
30/08/1969,323.14
06/09/1969,322.21
13/09/1969,322.79
20/09/1969,322.84
27/09/1969,321.96
04/10/1969,321.5
11/10/1969,321.82
18/10/1969,322
25/10/1969,321.93
01/11/1969,322.21
08/11/1969,322.64
15/11/1969,322.78
22/11/1969,323.1
29/11/1969,323.52
06/12/1969,323.91
13/12/1969,323.99
20/12/1969,324.22
27/12/1969,324.5
03/01/1970,324.7
10/01/1970,325.4
17/01/1970,325.05
24/01/1970,324.8
31/01/1970,325.55
07/02/1970,325.7
14/02/1970,326.02
21/02/1970,326.32
28/02/1970,326.17
07/03/1970,326.85
14/03/1970,326.8
21/03/1970,327.51
28/03/1970,326.95
04/04/1970,328.2
11/04/1970,327.84
18/04/1970,327.81
25/04/1970,328.55
02/05/1970,327.99
09/05/1970,327.56
16/05/1970,328.03
23/05/1970,328.33
30/05/1970,327.98
06/06/1970,327.55
13/06/1970,327.86
20/06/1970,327.71
27/06/1970,327.23
04/07/1970,327.29
11/07/1970,326.24
18/07/1970,326.28
25/07/1970,325.63
01/08/1970,325.24
08/08/1970,325.21
15/08/1970,324.86
22/08/1970,324.84
29/08/1970,323.33
05/09/1970,322.97
12/09/1970,323.58
19/09/1970,323.18
26/09/1970,323.15
03/10/1970,323.21
10/10/1970,323.56
17/10/1970,322.92
24/10/1970,323.02
31/10/1970,323.18
07/11/1970,323.69
14/11/1970,323.76
21/11/1970,324.23
28/11/1970,324.71
05/12/1970,324.73
12/12/1970,325
19/12/1970,325.29
26/12/1970,325.58
02/01/1971,325.77
09/01/1971,325.89
16/01/1971,325.9
23/01/1971,326.72
30/01/1971,326.68
06/02/1971,326.55
13/02/1971,326.49
20/02/1971,326.79
27/02/1971,327.05
06/03/1971,327.15
13/03/1971,327.34
20/03/1971,327.08
27/03/1971,327.45
03/04/1971,327.44
10/04/1971,327.1
17/04/1971,327.71
24/04/1971,328.56
01/05/1971,328.2
08/05/1971,329.07
15/05/1971,329.28
22/05/1971,328.92
29/05/1971,328.81
05/06/1971,328.56
12/06/1971,328.8
19/06/1971,328.18
26/06/1971,328.52
03/07/1971,327.92
10/07/1971,327.88
17/07/1971,327.55
24/07/1971,326.21
31/07/1971,326.74
07/08/1971,326.12
14/08/1971,325.61
21/08/1971,325.39
28/08/1971,324.04
04/09/1971,323.65
11/09/1971,323.51
18/09/1971,323.26
25/09/1971,323.3
02/10/1971,323.32
09/10/1971,322.95
16/10/1971,323.52
23/10/1971,323.69
30/10/1971,324.4
06/11/1971,324.36
13/11/1971,324.53
20/11/1971,325.04
27/11/1971,325.51
04/12/1971,325.38
11/12/1971,325.93
18/12/1971,326.28
25/12/1971,326.35
01/01/1972,326.61
08/01/1972,326.67
15/01/1972,326.62
22/01/1972,326.68
29/01/1972,327.24
05/02/1972,327.4
12/02/1972,327.95
19/02/1972,327.83
26/02/1972,327.42
04/03/1972,327.58
11/03/1972,327.16
18/03/1972,327.78
25/03/1972,328.62
01/04/1972,328.97
08/04/1972,329.47
15/04/1972,329.83
22/04/1972,330.13
29/04/1972,330.02
06/05/1972,330.04
13/05/1972,329.75
20/05/1972,330.11
27/05/1972,330.21
03/06/1972,329.71
10/06/1972,329.15
17/06/1972,329.04
24/06/1972,328.52
01/07/1972,328.63
08/07/1972,328.3
15/07/1972,327.72
22/07/1972,328.14
29/07/1972,327.51
05/08/1972,326.92
12/08/1972,326.66
19/08/1972,326.57
26/08/1972,325.05
02/09/1972,325.4
09/09/1972,325.77
16/09/1972,324.81
23/09/1972,324.26
30/09/1972,324.23
07/10/1972,324.88
14/10/1972,325.52
21/10/1972,325.11
28/10/1972,325.86
04/11/1972,326.32
11/11/1972,326.13
18/11/1972,326.44
25/11/1972,326.98
02/12/1972,326.94
09/12/1972,327.16
16/12/1972,327.6
23/12/1972,327.91
30/12/1972,328.26
06/01/1973,328.4
13/01/1973,328.44
20/01/1973,328.66
27/01/1973,328.86
03/02/1973,329.19
10/02/1973,329.53
17/02/1973,329.67
24/02/1973,329.7
03/03/1973,329.95
10/03/1973,330.11
17/03/1973,330.55
24/03/1973,330.83
31/03/1973,330.68
07/04/1973,331.22
14/04/1973,331.1
21/04/1973,331.94
28/04/1973,332.16
05/05/1973,332.21
12/05/1973,332.35
19/05/1973,332.63
26/05/1973,332.58
02/06/1973,332.27
09/06/1973,332.58
16/06/1973,332.02
23/06/1973,331.63
30/06/1973,331.43
07/07/1973,331.53
14/07/1973,331.07
21/07/1973,330.08
28/07/1973,330.13
04/08/1973,330.05
11/08/1973,329.54
18/08/1973,329.36
25/08/1973,328.53
01/09/1973,328.45
08/09/1973,327.65
15/09/1973,327.81
22/09/1973,327.1
29/09/1973,326.6
06/10/1973,327.05
13/10/1973,327.4
20/10/1973,327.48
27/10/1973,327.18
03/11/1973,327.59
10/11/1973,328.02
17/11/1973,328.2
24/11/1973,328.57
01/12/1973,329.05
08/12/1973,328.7
15/12/1973,328.65
22/12/1973,328.24
29/12/1973,328.71
05/01/1974,328.91
12/01/1974,329.29
19/01/1974,329.41
26/01/1974,329.85
02/02/1974,330.54
09/02/1974,330.81
16/02/1974,330.61
23/02/1974,330.68
02/03/1974,330.79
09/03/1974,331.2
16/03/1974,332.11
23/03/1974,332
30/03/1974,331.56
06/04/1974,332.47
13/04/1974,332.14
20/04/1974,332.93
27/04/1974,333.17
04/05/1974,332.95
11/05/1974,333.09
18/05/1974,333.27
25/05/1974,332.87
01/06/1974,332.93
08/06/1974,332.03
15/06/1974,332.03
22/06/1974,332.26
29/06/1974,331.73
06/07/1974,331.73
13/07/1974,331.29
20/07/1974,330.47
27/07/1974,331.02
03/08/1974,330.09
10/08/1974,329.92
17/08/1974,329.29
24/08/1974,328.97
31/08/1974,328.19
07/09/1974,328.03
14/09/1974,327.35
21/09/1974,326.91
28/09/1974,327.38
05/10/1974,327.39
12/10/1974,327.06
19/10/1974,327.56
26/10/1974,327.7
02/11/1974,327.99
09/11/1974,328.09
16/11/1974,328.83
23/11/1974,328.65
30/11/1974,328.75
07/12/1974,329.5
14/12/1974,329.73
21/12/1974,329.82
28/12/1974,329.78
04/01/1975,329.93
11/01/1975,329.82
18/01/1975,330.27
25/01/1975,331.13
01/02/1975,331.18
08/02/1975,331.47
15/02/1975,331
22/02/1975,331.72
01/03/1975,331.88
08/03/1975,331.61
15/03/1975,331.96
22/03/1975,332.27
29/03/1975,332.58
05/04/1975,333.03
12/04/1975,333.58
19/04/1975,333.54
26/04/1975,333.13
03/05/1975,333.94
10/05/1975,333.93
17/05/1975,333.76
24/05/1975,333.73
31/05/1975,334.13
07/06/1975,333.87
14/06/1975,333.38
21/06/1975,333.45
28/06/1975,333.19
05/07/1975,332.71
12/07/1975,332.05
19/07/1975,331.05
26/07/1975,331.57
02/08/1975,330.83
09/08/1975,330.7
16/08/1975,330.35
23/08/1975,329.3
30/08/1975,328.88
06/09/1975,329.45
13/09/1975,328.52
20/09/1975,328.09
27/09/1975,328.28
04/10/1975,328.03
11/10/1975,328.05
18/10/1975,328.57
25/10/1975,328.81
01/11/1975,329.35
08/11/1975,329.2
15/11/1975,329.17
22/11/1975,329.54
29/11/1975,330.14
06/12/1975,330.35
13/12/1975,330.54
20/12/1975,331.13
27/12/1975,331.29
03/01/1976,331.57
10/01/1976,331.51
17/01/1976,331.74
24/01/1976,331.87
31/01/1976,332.28
07/02/1976,332.19
14/02/1976,332.52
21/02/1976,333.26
28/02/1976,332.48
06/03/1976,332.81
13/03/1976,333.6
20/03/1976,333.14
27/03/1976,334.39
03/04/1976,334.73
10/04/1976,334.26
17/04/1976,334.42
24/04/1976,334.54
01/05/1976,334.74
08/05/1976,334.33
15/05/1976,334.6
22/05/1976,335.43
29/05/1976,334.87
05/06/1976,334.36
12/06/1976,334.63
19/06/1976,334.32
03/07/1976,333.66
10/07/1976,333.42
17/07/1976,332.85
24/07/1976,332.47
31/07/1976,332.13
07/08/1976,331.72
14/08/1976,330.65
21/08/1976,330.69
28/08/1976,330.09
04/09/1976,329.75
11/09/1976,330.09
18/09/1976,329.33
25/09/1976,328.42
02/10/1976,328.85
09/10/1976,329.06
16/10/1976,329.6
23/10/1976,329.17
30/10/1976,329.03
06/11/1976,329.84
13/11/1976,330.43
20/11/1976,330.59
27/11/1976,330.7
04/12/1976,331.15
11/12/1976,331.33
18/12/1976,331.92
25/12/1976,332.2
01/01/1977,332.58
08/01/1977,332.43
15/01/1977,333.14
22/01/1977,333.24
29/01/1977,333.22
05/02/1977,333.41
12/02/1977,333.33
19/02/1977,333.45
26/02/1977,333.63
05/03/1977,334.1
12/03/1977,334.67
19/03/1977,335.11
26/03/1977,335.02
02/04/1977,335.53
09/04/1977,335.94
16/04/1977,336.01
23/04/1977,336.12
30/04/1977,336.78
07/05/1977,336.8
14/05/1977,336.47
21/05/1977,336.84
28/05/1977,336.72
04/06/1977,336.49
11/06/1977,336.31
18/06/1977,336.19
25/06/1977,336.03
02/07/1977,335.59
09/07/1977,335.1
16/07/1977,335.11
23/07/1977,334.6
30/07/1977,333.76
06/08/1977,333.01
13/08/1977,332.98
20/08/1977,332.84
27/08/1977,332.85
03/09/1977,332.17
10/09/1977,331.21
17/09/1977,332.1
24/09/1977,330.96
01/10/1977,330.45
08/10/1977,330.95
15/10/1977,331.52
22/10/1977,331.52
29/10/1977,331.74
05/11/1977,332.13
12/11/1977,332.03
19/11/1977,332.59
26/11/1977,332.85
03/12/1977,333.2
10/12/1977,333.51
17/12/1977,333.85
24/12/1977,334.25
31/12/1977,334.67
07/01/1978,334.27
14/01/1978,334.63
21/01/1978,335.46
28/01/1978,335.94
04/02/1978,335
11/02/1978,335.13
18/02/1978,335.66
25/02/1978,335.7
04/03/1978,336.27
11/03/1978,336.1
18/03/1978,336.8
25/03/1978,337.39
01/04/1978,337.08
08/04/1978,337.99
15/04/1978,337.94
22/04/1978,337.47
29/04/1978,338.05
06/05/1978,338.07
13/05/1978,338.1
20/05/1978,337.82
27/05/1978,337.9
03/06/1978,338.48
10/06/1978,338.23
17/06/1978,337.86
24/06/1978,337.39
01/07/1978,337.69
08/07/1978,336.79
15/07/1978,336.72
22/07/1978,335.95
29/07/1978,335.69
05/08/1978,335.17
12/08/1978,334.84
19/08/1978,334.41
26/08/1978,334.37
02/09/1978,333.88
09/09/1978,332.88
16/09/1978,332.19
23/09/1978,332.38
30/09/1978,332.76
07/10/1978,332.1
14/10/1978,332.45
21/10/1978,333.02
28/10/1978,333.18
04/11/1978,333.58
11/11/1978,333.85
18/11/1978,333.88
25/11/1978,334.2
02/12/1978,334.52
09/12/1978,334.8
16/12/1978,335.15
23/12/1978,335.12
30/12/1978,335.32
06/01/1979,335.36
13/01/1979,335.97
20/01/1979,336.85
27/01/1979,336.95
03/02/1979,336.9
10/02/1979,336.54
17/02/1979,336.71
24/02/1979,336.79
03/03/1979,337.12
10/03/1979,337.79
17/03/1979,337.43
24/03/1979,339.02
31/03/1979,338.8
07/04/1979,338.17
14/04/1979,338.66
21/04/1979,339.25
28/04/1979,339.6
05/05/1979,339.3
12/05/1979,338.88
19/05/1979,339.86
26/05/1979,339.62
02/06/1979,339.93
09/06/1979,339.52
16/06/1979,338.9
23/06/1979,338.95
30/06/1979,339
07/07/1979,338.28
14/07/1979,337.82
21/07/1979,337.37
28/07/1979,336.84
04/08/1979,337.03
11/08/1979,336.59
18/08/1979,336.17
25/08/1979,334.56
01/09/1979,334.45
08/09/1979,334
15/09/1979,334.21
22/09/1979,333.28
29/09/1979,334.11
06/10/1979,334.1
13/10/1979,333.97
20/10/1979,333.74
27/10/1979,334.16
03/11/1979,334.73
10/11/1979,334.86
17/11/1979,335.59
24/11/1979,335.68
01/12/1979,335.99
08/12/1979,336.5
15/12/1979,336.77
22/12/1979,336.88
29/12/1979,337.4
05/01/1980,337.67
12/01/1980,337.48
19/01/1980,338.38
26/01/1980,338.49
02/02/1980,338.05
09/02/1980,338.14
16/02/1980,338.68
23/02/1980,338.26
01/03/1980,339.31
08/03/1980,339.54
15/03/1980,340.02
22/03/1980,340.54
29/03/1980,341.01
05/04/1980,340.41
12/04/1980,340.95
19/04/1980,340.75
26/04/1980,341.06
03/05/1980,341.52
10/05/1980,341.3
17/05/1980,341.38
24/05/1980,340.92
31/05/1980,341.72
07/06/1980,341.38
14/06/1980,341.39
21/06/1980,340.87
28/06/1980,340.4
05/07/1980,340.44
12/07/1980,339.78
19/07/1980,338.51
26/07/1980,338.92
02/08/1980,337.98
09/08/1980,337.77
16/08/1980,337.75
23/08/1980,337.79
30/08/1980,337.01
06/09/1980,336.65
13/09/1980,335.75
20/09/1980,335.28
27/09/1980,336.03
04/10/1980,335.83
11/10/1980,335.87
18/10/1980,336.1
25/10/1980,336.42
01/11/1980,336.65
08/11/1980,336.98
15/11/1980,337.14
22/11/1980,337.31
29/11/1980,337.41
06/12/1980,337.77
13/12/1980,338.1
20/12/1980,338.39
27/12/1980,338.72
03/01/1981,338.94
10/01/1981,339.13
17/01/1981,339.39
24/01/1981,339.36
31/01/1981,339.55
07/02/1981,340.57
14/02/1981,340.04
21/02/1981,340.2
28/02/1981,341.11
07/03/1981,340.73
14/03/1981,341.04
21/03/1981,341.89
28/03/1981,342.19
04/04/1981,342.42
11/04/1981,342.49
18/04/1981,342.78
25/04/1981,342.3
02/05/1981,342.95
09/05/1981,343
16/05/1981,342.8
23/05/1981,342.7
30/05/1981,342.75
06/06/1981,342.64
13/06/1981,342.54
20/06/1981,341.81
27/06/1981,341.64
04/07/1981,341.05
11/07/1981,340.87
18/07/1981,339.76
25/07/1981,340.21
01/08/1981,339.56
08/08/1981,338.92
15/08/1981,338.48
22/08/1981,337.57
29/08/1981,337.73
05/09/1981,337.2
12/09/1981,337.03
19/09/1981,336.75
26/09/1981,335.95
03/10/1981,336.3
10/10/1981,336.65
17/10/1981,337.13
24/10/1981,337.22
31/10/1981,337.56
07/11/1981,337.87
14/11/1981,338.14
21/11/1981,338.57
28/11/1981,339.3
05/12/1981,339.29
12/12/1981,339.41
19/12/1981,339.65
26/12/1981,340.23
02/01/1982,340.28
09/01/1982,340.39
16/01/1982,340.72
23/01/1982,341.13
30/01/1982,341.29
06/02/1982,341.94
13/02/1982,341.11
20/02/1982,341.14
27/02/1982,342.19
06/03/1982,342.66
13/03/1982,342.61
20/03/1982,342.78
27/03/1982,342.81
03/04/1982,342.96
10/04/1982,343.3
17/04/1982,343.5
24/04/1982,344.29
01/05/1982,343.83
08/05/1982,343.68
15/05/1982,344.29
22/05/1982,344.1
29/05/1982,344.1
05/06/1982,343.48
12/06/1982,343.5
19/06/1982,343.46
26/06/1982,342.91
03/07/1982,342.53
10/07/1982,342.03
17/07/1982,342.02
24/07/1982,341.81
31/07/1982,341.31
07/08/1982,340.57
14/08/1982,340.06
21/08/1982,339.71
28/08/1982,338.32
04/09/1982,338.88
11/09/1982,338.61
18/09/1982,337.84
25/09/1982,336.92
02/10/1982,337.32
09/10/1982,338.09
16/10/1982,337.6
23/10/1982,337.94
30/10/1982,338.7
06/11/1982,338.49
13/11/1982,339.2
20/11/1982,339.72
27/11/1982,339.88
04/12/1982,339.86
11/12/1982,340.43
18/12/1982,340.71
25/12/1982,340.82
01/01/1983,340.94
08/01/1983,341.44
15/01/1983,341.57
22/01/1983,341.25
29/01/1983,341.72
05/02/1983,342
12/02/1983,342.77
19/02/1983,342.5
26/02/1983,342.84
05/03/1983,342.38
12/03/1983,342.58
19/03/1983,344.06
26/03/1983,343.81
02/04/1983,344.02
09/04/1983,344.89
16/04/1983,345.07
23/04/1983,345.32
30/04/1983,345.46
07/05/1983,345.43
14/05/1983,345.77
21/05/1983,345.85
28/05/1983,345.76
04/06/1983,345.68
11/06/1983,345.6
18/06/1983,345.04
25/06/1983,344.97
02/07/1983,344.74
09/07/1983,344.59
16/07/1983,343.73
23/07/1983,343.66
30/07/1983,342.6
06/08/1983,343.05
13/08/1983,341.7
20/08/1983,342.14
27/08/1983,341.8
03/09/1983,339.94
