Season,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,RAR,Test,Dol,Dol (no $)
1924,Robins,1618,5951,72,717,662,34,7.50%,6.00%,0.103,0.298,0.287,0.345,0.391,0.345,100,2,0.1,4,19.6,200.4,145.82797, ,
1925,Tigers,1857,6261,50,901,798,97,10.20%,6.10%,0.111,0.319,0.302,0.38,0.413,0.37,102,6.8,21.6,50.2,27.5,295.2,273.21471, ,
1925,Browns,1736,6106,110,898,798,85,8.10%,6.10%,0.142,0.305,0.298,0.36,0.44,0.367,95,-4.4,-49.5,10.4,16.5,178.8,200.7348, ,
1938,Senators,1732,6158,85,814,768,65,9.30%,6.10%,0.124,0.302,0.293,0.362,0.416,0.36,99,-5.8,-16.4,44.5,25.5,266.1,178.49472, ,
1928,Giants,1758,6099,118,801,758,62,7.20%,6.10%,0.137,0.298,0.293,0.349,0.43,0.359,103,9.3,35.5,82.5,30.7,309.9,129.4681, ,
1923,Pirates,1621,5943,49,786,701,154,6.80%,6.10%,0.11,0.309,0.295,0.347,0.404,0.351,96,12.8,-14.7,54.8,24.3,248.2,181.37468, ,
1925,Indians,1760,6169,52,783,697,90,8.40%,6.10%,0.102,0.312,0.297,0.361,0.399,0.354,93,-2.1,-65.8,25.6,16.6,180,191.24133, ,
1927,Senators,1806,6123,29,781,696,133,8.10%,6.10%,0.098,0.305,0.287,0.351,0.385,0.346,93,-0.2,-60.3,49.2,20.4,208.2,225.26795, ,
1927,Braves,1816,5940,37,648,582,100,5.80%,6.10%,0.084,0.294,0.279,0.326,0.363,0.323,88,15.9,-73.9,-40.7,7.4,76.5,148.88121, ,
1918,Pirates,1303,4667,15,466,391,200,7.90%,6.10%,0.072,0.264,0.248,0.315,0.321,0.314,92,15.6,-22.7,43.4,18.1,157.2,74.96107, ,
1930,Giants,1756,6159,143,959,880,59,6.90%,6.20%,0.155,0.323,0.319,0.369,0.473,0.375,103,11.3,42.2,79.2,30.7,344.1,176.81491, ,
1923,Indians,1736,6150,59,886,806,79,10.20%,6.20%,0.119,0.317,0.301,0.381,0.421,0.377,110,-2.3,81.1,15.6,29.1,299,237.62807, ,
1922,Browns,1619,6130,98,868,785,136,7.70%,6.20%,0.143,0.321,0.31,0.369,0.453,0.378,107,8.7,68.3,72.2,33,340.4,137.28151, ,
1920,Indians,1672,6067,35,856,757,73,9.50%,6.20%,0.115,0.321,0.303,0.376,0.417,0.374,108,-3,58.5,44.3,31.8,304.3,217.92139, ,
1923,Tigers,1838,6165,41,833,739,87,9.60%,6.20%,0.101,0.318,0.3,0.377,0.401,0.368,107,6.8,65.5,28.6,28.9,296.9,236.09467, ,
1922,Tigers,1739,6168,54,828,735,78,8.60%,6.20%,0.11,0.323,0.306,0.373,0.416,0.367,106,4.6,56.4,18.6,26.6,276.2,192.49472, ,
1923,Reds,1624,5934,45,707,645,96,7.40%,6.20%,0.106,0.3,0.285,0.344,0.392,0.345,97,-12.2,-38,51.6,21.6,221.4,133.25464, ,
1921,Pirates,1578,5946,37,692,623,134,5.70%,6.20%,0.102,0.301,0.285,0.33,0.387,0.332,88,2.5,-86.5,63.3,17.9,183.9,131.12129, ,
1924,Tigers,1802,6263,35,847,768,100,9.90%,6.30%,0.106,0.317,0.298,0.374,0.404,0.367,102,4,24.9,28.3,27,274.8,242.37468, ,
1925,Robins,1719,6043,64,786,721,37,7.20%,6.30%,0.11,0.309,0.296,0.351,0.406,0.35,94,8.2,-39.1,-9.5,15.1,166.4,176.22802, ,
1924,Senators,1687,6099,22,753,688,116,8.30%,6.30%,0.094,0.314,0.294,0.362,0.388,0.354,98,2.6,-15.7,80.1,27.6,280.2,189.54796, ,
1923,Robins,1713,6082,62,753,674,71,7.00%,6.30%,0.103,0.297,0.285,0.34,0.387,0.341,93,7.1,-49.8,-1.5,15.7,161.6,192.12129, ,
1926,White Sox,1703,6035,32,731,666,123,9.10%,6.30%,0.102,0.307,0.289,0.36,0.39,0.354,99,-11.3,-22.9,55.4,25.2,253.1,162.4013, ,
1927,Indians,1696,5843,26,669,616,65,6.50%,6.30%,0.096,0.301,0.283,0.337,0.379,0.336,84,-22,-149.6,7.4,6.5,67,128.70793, ,
1921,Cubs,1724,5907,37,668,609,70,5.80%,6.30%,0.086,0.309,0.292,0.339,0.378,0.334,89,-11.2,-94.4,26.9,13.4,138.2,130.28126, ,
1920,Reds,1580,5799,18,639,546,158,6.60%,6.30%,0.072,0.295,0.277,0.332,0.349,0.325,100,-1.7,-0.4,37.6,23,220.2,175.90783, ,
1933,Reds,1707,5653,34,495,455,30,6.20%,6.30%,0.074,0.259,0.246,0.298,0.32,0.292,78,5,-138,28.6,6,58.1,106.5344, ,
1933,Senators,1780,6208,60,851,793,65,8.70%,6.40%,0.115,0.301,0.287,0.353,0.402,0.352,102,-8.7,3.8,61.6,29.2,285.7,251.52134, ,
1922,Reds,1651,5943,45,766,686,130,7.30%,6.40%,0.106,0.312,0.296,0.353,0.401,0.351,99,-19.6,-31.1,75,25.6,263.6,169.09467, ,
1928,Senators,1720,6011,40,718,680,108,8.00%,6.40%,0.11,0.301,0.284,0.347,0.394,0.344,95,-6.2,-44.4,42,21.1,213.6,139.10798, ,
1925,Braves,1697,5943,41,708,643,77,6.80%,6.40%,0.098,0.309,0.292,0.345,0.39,0.342,92,-3.6,-67.8,33.2,16.5,176.9,139.4013, ,
1928,Braves,1765,5886,52,631,577,60,7.60%,6.40%,0.092,0.289,0.275,0.336,0.367,0.329,88,9,-83.7,-13.9,8.6,87.6,121.58789, ,
1918,Reds,1305,4762,15,530,447,128,6.40%,6.40%,0.089,0.296,0.278,0.33,0.366,0.34,115,0.4,71.6,0.1,25.3,211,23.16122, ,
1936,Senators,1647,6082,62,887,823,104,9.40%,6.50%,0.119,0.31,0.295,0.365,0.413,0.361,95,-1.6,-48.7,56.6,22.2,240.1,259.21471, ,
1921,Giants,1755,5945,75,840,748,137,7.90%,6.50%,0.123,0.312,0.298,0.359,0.421,0.361,108,-4.4,54.6,87.1,34,348.7,191.62807, ,
1935,Senators,1745,6302,32,823,762,54,9.50%,6.50%,0.097,0.303,0.285,0.358,0.381,0.345,96,-7.8,-46.8,12.8,17.3,181.3,277.56127, ,
1932,Pirates,1695,5906,48,701,653,71,6.10%,6.50%,0.11,0.3,0.285,0.333,0.395,0.332,95,13.1,-25.7,40,19.7,204.7,119.53465, ,
1932,White Sox,1820,5897,36,667,608,89,7.80%,6.50%,0.092,0.283,0.267,0.328,0.36,0.318,80,-9.7,-173.5,4,4.1,43.9,175.6012, ,
1921,Browns,1714,6103,67,835,726,91,6.80%,6.60%,0.121,0.318,0.303,0.357,0.424,0.36,94,5.3,-44.2,7.5,16.8,173.5,178.90808, ,
1925,White Sox,1695,6163,38,811,738,131,10.70%,6.60%,0.102,0.302,0.284,0.37,0.385,0.356,96,1.8,-30.3,46.9,22,236.6,255.26795, ,
1932,Giants,1818,5948,116,755,718,31,5.90%,6.60%,0.13,0.281,0.276,0.322,0.406,0.33,97,5.2,-20.1,24.9,18.9,196.5,145.22802, ,
1929,Senators,1728,5994,48,732,656,87,9.20%,6.60%,0.099,0.292,0.276,0.347,0.375,0.337,88,-13.3,-110,53.3,15.8,170,202.00125, ,
1920,Robins,1671,5966,28,660,566,70,6.00%,6.60%,0.09,0.294,0.277,0.324,0.367,0.326,97,-0.8,-23.6,20.5,19.4,185.1,150.58789, ,
1920,Tigers,1733,5933,30,652,561,76,8.20%,6.60%,0.089,0.287,0.27,0.334,0.358,0.33,85,5.6,-111.3,-8,8.3,77.7,165.74786, ,
1936,White Sox,1616,6283,60,920,862,66,10.90%,6.70%,0.105,0.308,0.292,0.374,0.397,0.362,91,-3.4,-85.9,70.8,20.9,224.7,333.38799, ,
1929,Giants,1756,6060,136,897,829,85,8.00%,6.70%,0.14,0.301,0.296,0.358,0.436,0.362,97,14.6,-11.6,75.5,25.5,273.7,210.02812, ,
1923,Giants,1798,6083,85,854,790,106,8.00%,6.70%,0.12,0.307,0.295,0.356,0.415,0.361,106,6,51.5,65.4,32.3,329.9,221.06805, ,
1935,White Sox,1634,6025,74,737,690,46,9.60%,6.70%,0.107,0.287,0.275,0.348,0.382,0.341,88,-5.2,-109.7,73,16.4,169.2,188.98794, ,
1919,White Sox,1450,5360,25,668,571,150,8.00%,6.70%,0.093,0.307,0.287,0.351,0.38,0.35,106,1.5,37.7,27.2,27.9,247.6,125.1346, ,
1944,Reds,1670,5819,51,573,528,51,7.30%,6.70%,0.084,0.267,0.254,0.313,0.339,0.311,85,7,-92.5,109.7,19.9,191.1,135.64113, ,
1924,White Sox,1704,6116,41,794,710,137,9.90%,6.80%,0.095,0.308,0.289,0.366,0.383,0.355,98,5.4,-14.5,-24,17.4,177.9,243.41461, ,
1926,Tigers,1881,6182,36,793,717,88,9.70%,6.80%,0.107,0.311,0.291,0.366,0.398,0.361,99,-15.5,-23.5,-4.7,19.6,197.7,203.81466, ,
1931,Giants,1707,5840,101,768,727,83,6.60%,6.80%,0.127,0.298,0.289,0.34,0.416,0.348,104,15.3,46,68.9,29.3,300.4,132.49472, ,
1934,Pirates,1710,5878,52,735,679,44,7.50%,6.80%,0.11,0.303,0.287,0.344,0.398,0.343,98,6.2,-10.9,5.5,18.1,190.5,145.81466, ,
1924,Pirates,1606,5830,44,724,656,181,6.30%,6.80%,0.113,0.304,0.287,0.336,0.4,0.342,93,10.4,-37.9,106.8,25.8,261.3,129.668, ,
1938,Pirates,1681,5992,65,705,655,47,8.10%,6.80%,0.109,0.292,0.279,0.34,0.388,0.338,101,7.2,11.9,83,26.7,277,141.54796, ,
1930,Braves,1754,5870,66,692,631,69,5.70%,6.80%,0.112,0.294,0.281,0.326,0.393,0.325,75,13.4,-212.6,32.7,2.9,32.3,115.68131, ,
1928,Indians,1712,5989,34,677,619,49,6.30%,6.80%,0.097,0.304,0.285,0.336,0.383,0.334,86,-15.3,-121.5,9.8,10.2,103.4,126.41461, ,
1923,Braves,1789,5947,32,635,567,57,7.20%,6.80%,0.08,0.291,0.273,0.331,0.353,0.324,84,-9.1,-130.3,-13,6.2,64.9,161.61451, ,
1922,Giants,1747,6107,80,852,756,116,7.30%,6.90%,0.123,0.319,0.304,0.362,0.428,0.366,106,1.4,49.3,96.9,36.1,372,185.61476, ,
1927,Tigers,1772,6112,51,845,765,139,9.60%,6.90%,0.12,0.307,0.289,0.363,0.409,0.361,99,-8.1,-18.7,20.8,21.6,220.9,227.50803, ,
1924,Red Sox,1800,6176,30,738,668,78,9.80%,6.90%,0.097,0.297,0.277,0.356,0.375,0.346,88,5.1,-92.7,-20.6,10.2,105.3,208.00125, ,
1921,Robins,1677,5773,59,667,584,91,5.60%,6.90%,0.106,0.295,0.28,0.325,0.386,0.328,87,2.1,-97,5.9,10.6,110,108.69462, ,
1927,White Sox,1698,5910,36,661,609,89,8.30%,6.90%,0.1,0.296,0.278,0.344,0.378,0.339,90,-18.6,-95.1,50.3,16.4,166.8,123.28126, ,
1919,Indians,1491,5325,24,634,547,113,9.40%,6.90%,0.103,0.298,0.278,0.354,0.381,0.352,103,-5.2,14.6,15.1,24,211.3,88.56127, ,
1931,Indians,1727,6116,71,885,812,63,9.10%,7.00%,0.123,0.312,0.296,0.364,0.42,0.363,101,-14.9,-5.4,4.2,21.7,224.5,239.2014, ,
1922,Cardinals,1890,6061,107,863,787,73,7.40%,7.00%,0.143,0.312,0.301,0.357,0.444,0.368,106,0.7,53.4,-40.6,22.6,236.8,155.44148, ,
1925,Senators,1785,5983,56,828,747,135,9.00%,7.00%,0.108,0.322,0.304,0.374,0.412,0.366,103,0.2,24.9,63.8,28.3,302.2,202.78804, ,
1925,Cardinals,1659,5934,109,827,752,70,7.50%,7.00%,0.146,0.308,0.299,0.356,0.445,0.366,102,4.3,21.9,49.7,26.3,282.7,116.86815, ,
1945,Dodgers,1841,6180,57,795,722,75,10.20%,7.00%,0.105,0.286,0.271,0.35,0.376,0.349,101,11.5,17.9,15.7,24.6,227.9,262.42792, ,
1943,Dodgers,1797,6010,39,715,658,58,9.70%,7.00%,0.085,0.29,0.272,0.346,0.357,0.34,103,8.9,31.9,-3.3,22.8,198.3,231.32119, ,
1933,White Sox,1729,5989,43,683,642,43,9.00%,7.00%,0.088,0.29,0.273,0.342,0.36,0.331,88,-11.5,-104,36,14.8,144.6,191.6012, ,
1918,Cubs,1353,4898,21,538,438,159,7.30%,7.00%,0.077,0.284,0.265,0.325,0.342,0.328,101,5.9,10.5,13.2,19.8,167,92.92114, ,
1920,Pirates,1601,5776,16,529,448,180,6.40%,7.00%,0.075,0.277,0.257,0.31,0.332,0.306,82,5.7,-108.1,43.9,12.3,118,109.65444, ,
1918,Red Sox,1265,4606,15,473,390,110,8.80%,7.00%,0.078,0.268,0.249,0.323,0.327,0.322,100,-2,0.2,53.5,22.4,195.1,66.52109, ,
1930,Senators,1677,6101,57,891,819,101,8.70%,7.10%,0.124,0.321,0.302,0.369,0.426,0.361,103,-13.8,14.3,95.7,31.1,346.9,229.76142, ,
1925,Athletics,1816,6059,76,831,767,67,7.40%,7.10%,0.127,0.324,0.308,0.364,0.434,0.367,99,0.4,-8.4,43.2,23.3,251,149.17478, ,
1928,Cardinals,1715,6134,113,807,749,82,9.20%,7.10%,0.144,0.29,0.281,0.353,0.425,0.36,102,13.3,26.2,53.4,27,272.6,148.33475, ,
1924,Yankees,1703,5918,98,799,735,69,8.10%,7.10%,0.137,0.302,0.291,0.353,0.427,0.362,100,-0.6,1.2,34.5,24.1,245.1,135.18809, ,
1924,Cardinals,1755,5909,67,740,672,86,6.50%,7.10%,0.121,0.305,0.29,0.341,0.411,0.349,100,-5.8,-3.3,10,19.8,201.7,117.36137, ,
1929,Browns,1649,5974,46,733,672,70,9.80%,7.10%,0.105,0.293,0.276,0.352,0.381,0.341,85,-10.2,-129.7,64.7,15,161,187.56127, ,
1927,Browns,1745,5900,55,724,657,90,7.60%,7.10%,0.105,0.292,0.276,0.339,0.381,0.338,82,-14.5,-155.3,8.3,6.3,64.3,178.56127, ,
1923,Browns,1663,5965,82,687,613,64,7.40%,7.10%,0.117,0.295,0.282,0.34,0.399,0.345,88,3.2,-93.9,33.9,13.3,136.2,95.24133, ,
1939,Pirates,1782,5921,63,666,617,44,8.10%,7.10%,0.108,0.29,0.276,0.338,0.384,0.336,93,6.3,-42.8,17.3,15.4,159.9,112.84128, ,
1919,Reds,1423,5214,20,578,489,143,7.80%,7.10%,0.079,0.283,0.263,0.327,0.342,0.323,106,1.7,32.2,57.8,26.1,235.7,132.92114, ,
1919,Cubs,1470,5088,21,454,387,150,5.90%,7.10%,0.075,0.274,0.256,0.308,0.332,0.307,90,5.7,-46.1,40.6,15.1,136.7,34.65444, ,
1927,Athletics,1842,6089,56,841,767,101,9.10%,5.30%,0.111,0.316,0.304,0.373,0.415,0.369,102,-11.6,8.3,30.6,25.2,256.9,-661.93195, ,
1932,Senators,1792,6141,61,840,776,70,8.20%,7.20%,0.124,0.3,0.284,0.347,0.408,0.345,96,-8.3,-40.7,78.8,25.2,260.3,225.08136, ,
1928,Athletics,1701,6003,89,828,760,61,8.80%,7.20%,0.142,0.308,0.294,0.363,0.436,0.368,107,-13.9,41.9,42.9,29.7,300.5,141.02812, ,
1934,Indians,1683,6026,100,814,765,52,8.70%,7.20%,0.136,0.298,0.287,0.352,0.423,0.357,96,-6.4,-40.4,42,21,219.6,160.48141, ,
1934,Senators,1765,6166,51,729,680,47,9.20%,7.20%,0.105,0.295,0.278,0.348,0.382,0.341,91,-12,-85.6,45.1,17.5,182.5,180.98794, ,
1931,White Sox,1884,6102,27,705,649,94,7.90%,7.20%,0.083,0.278,0.26,0.323,0.343,0.313,79,0.5,-176.1,-18.3,2.8,30.8,257.34781, ,
1943,Cardinals,1729,6055,70,679,638,40,7.10%,7.20%,0.113,0.293,0.279,0.334,0.392,0.346,106,5.6,48.1,81.3,33.3,300.4,105.25464, ,
1920,Red Sox,1644,5980,22,650,570,98,8.80%,7.20%,0.082,0.29,0.269,0.342,0.351,0.332,89,-5.8,-88.8,48.9,16.5,158.7,181.76117, ,
1925,Red Sox,1738,5840,41,640,591,42,8.70%,7.20%,0.098,0.284,0.266,0.335,0.365,0.328,77,-3.9,-197,-19.1,-1.1,-7.7,135.73455, ,
1929,White Sox,1667,5841,37,626,568,109,7.20%,7.20%,0.095,0.286,0.268,0.325,0.363,0.319,77,-8.7,-191,51,7.6,80.9,126.88121, ,
1920,Cubs,1635,5809,34,618,536,115,7.40%,7.20%,0.09,0.282,0.264,0.326,0.353,0.324,96,-11.8,-37.2,-2.2,15.2,143.9,144.61451, ,
1918,Senators,1334,5011,4,461,402,137,7.50%,7.20%,0.059,0.278,0.256,0.319,0.315,0.314,93,0.4,-33.9,19.9,16.3,139.8,85.40105, ,
1930,Phillies,1875,6288,126,944,884,34,7.20%,7.30%,0.143,0.326,0.315,0.367,0.458,0.37,89,6.3,-103.8,-61.7,4.2,61.9,200.41486, ,
1935,Tigers,1584,6182,106,919,836,70,10.20%,7.30%,0.145,0.302,0.29,0.366,0.435,0.368,106,-8,42.3,75,31.7,328.5,234.60145, ,
1922,Cubs,1746,6089,42,769,667,97,8.60%,7.30%,0.097,0.314,0.293,0.359,0.39,0.351,93,-13.2,-70.6,34.6,18.3,189.1,200.4013, ,
1923,Cardinals,1803,6137,63,745,676,89,7.10%,7.30%,0.111,0.303,0.286,0.343,0.398,0.346,96,5.8,-29.5,19.8,20,205.1,155.81466, ,
1928,Tigers,1745,5943,62,744,686,113,7.90%,7.30%,0.123,0.295,0.279,0.34,0.401,0.343,91,-11.9,-81.8,8.5,13.8,140.1,147.09467, ,
1935,Pirates,1637,5973,66,742,682,30,7.70%,7.30%,0.117,0.301,0.285,0.343,0.402,0.344,99,4,-2.5,19.1,21.5,224.4,142.52134, ,
1929,Braves,1750,5920,33,657,598,65,6.90%,7.30%,0.095,0.3,0.28,0.335,0.376,0.329,78,10.8,-177.1,10.4,3.4,38.3,124.42792, ,
1932,Reds,1766,5996,47,571,546,35,7.30%,7.30%,0.1,0.279,0.263,0.32,0.362,0.314,86,5.9,-101.9,58.2,14.5,149.6,74.45454, ,
1936,Tigers,1651,6232,94,921,848,73,10.40%,7.40%,0.131,0.315,0.3,0.377,0.431,0.375,101,-11.2,-5,45,25.6,277.9,246.89477, ,
1950,Yankees,1853,6149,159,912,857,41,11.10%,7.40%,0.159,0.285,0.282,0.366,0.441,0.37,108,-6,60.6,54.2,32.5,336.7,212.16147, ,
1929,Athletics,1657,5978,122,901,845,63,9.00%,7.40%,0.155,0.305,0.296,0.365,0.45,0.371,108,-7.8,59.9,48.1,30.8,334.1,178.0015, ,
1930,Pirates,1646,6058,86,891,844,76,8.20%,7.40%,0.146,0.319,0.303,0.365,0.449,0.365,95,14.7,-34.9,16,17.3,200,170.57483, ,
1932,Indians,1569,6121,78,845,786,52,9.20%,7.40%,0.128,0.3,0.285,0.357,0.413,0.352,95,-14.5,-58.4,33.4,18.9,196.6,217.21471, ,
1931,Senators,1715,6182,49,843,788,72,7.80%,7.40%,0.115,0.304,0.286,0.346,0.4,0.346,97,-14.4,-38.7,67.2,25,256.7,248.668, ,
1923,Senators,1687,6050,26,719,626,102,8.70%,7.40%,0.093,0.296,0.274,0.346,0.367,0.338,93,7.4,-51.5,45.1,18.8,192.5,209.58789, ,
1926,Giants,1776,5665,73,662,617,94,6.00%,7.40%,0.106,0.292,0.278,0.325,0.384,0.331,92,16.3,-40.9,67.3,19.6,197.4,108.84128, ,
1933,Indians,1678,5806,50,654,611,36,7.70%,7.40%,0.1,0.276,0.26,0.321,0.36,0.319,78,-10.3,-177.6,40.7,7,69.2,162.6012, ,
1941,Reds,1673,5816,64,616,567,68,8.10%,7.40%,0.09,0.259,0.247,0.312,0.337,0.308,84,11.1,-100,53.4,12.8,126.3,183.78779, ,
1931,Braves,1778,5807,34,533,490,46,6.30%,7.40%,0.083,0.276,0.258,0.309,0.342,0.304,78,8,-153,48.4,7.8,79.8,87.92114, ,
1918,Browns,1330,4625,5,426,359,138,8.60%,7.40%,0.061,0.282,0.259,0.331,0.32,0.323,96,2.1,-17.1,15.8,16.6,140.6,37.5344, ,
1936,Indians,1740,6251,123,921,853,66,8.20%,7.50%,0.158,0.315,0.304,0.363,0.461,0.376,100,-14.1,-9.6,14.5,22.2,243.5,169.69487, ,
1929,Phillies,1831,6213,153,897,841,59,9.20%,7.50%,0.158,0.317,0.309,0.377,0.467,0.383,100,9.2,11,-7.3,19.7,218.8,130.25489, ,
1930,Indians,1759,6120,72,890,830,51,7.90%,7.50%,0.127,0.322,0.304,0.363,0.431,0.359,96,-13.4,-48.1,3.1,16.4,192.6,215.89477, ,
1929,Cardinals,1678,6030,100,831,779,72,8.10%,7.50%,0.145,0.305,0.293,0.354,0.438,0.36,93,12.1,-52,23.9,16.5,180.6,138.88146, ,
1937,White Sox,1638,5956,67,780,726,70,9.20%,7.50%,0.12,0.296,0.28,0.35,0.4,0.348,87,-4.5,-112.4,87.9,18.8,194.5,185.668, ,
1936,Giants,1777,6037,97,742,687,31,7.10%,7.50%,0.115,0.292,0.281,0.337,0.395,0.339,98,3.6,-9.3,99.8,27.9,297.4,160.53465, ,
1923,White Sox,1683,6042,42,690,604,191,8.80%,7.50%,0.095,0.3,0.279,0.35,0.374,0.343,93,2.2,-57.6,39.4,17.6,180.6,162.57458, ,
1944,Dodgers,1909,6007,56,688,631,45,8.10%,7.50%,0.097,0.286,0.269,0.331,0.366,0.331,95,5.6,-28.2,-57,10.9,94.4,181.16122, ,
1934,Braves,1697,5854,83,683,649,30,6.40%,7.50%,0.106,0.284,0.272,0.323,0.378,0.324,93,3.5,-51.8,42,17.8,185.4,145.28126, ,
1936,Dodgers,1936,6068,33,662,596,55,6.40%,7.50%,0.08,0.292,0.272,0.323,0.353,0.316,82,8.4,-134.8,5.8,7.1,78.9,188.61451, ,
1926,Red Sox,1751,5866,32,560,521,52,8.10%,7.50%,0.087,0.274,0.255,0.322,0.342,0.316,73,-12,-220.7,34.7,2.8,28.4,114.92114, ,
1933,Braves,1671,5728,54,552,511,25,5.70%,7.50%,0.094,0.266,0.252,0.299,0.345,0.301,88,4,-74.9,65.2,16.3,160.1,99.20115, ,
1919,Pirates,1406,5049,17,472,394,196,6.80%,7.50%,0.076,0.269,0.249,0.306,0.325,0.304,88,14.9,-46,50.4,16,145.5,70.66775, ,
1927,Giants,1789,6040,109,817,765,73,7.60%,7.60%,0.131,0.309,0.297,0.356,0.428,0.364,110,10.2,87.6,50.8,32.6,332.6,150.61476, ,
1921,Cardinals,1803,5912,83,808,733,94,6.50%,7.60%,0.129,0.325,0.308,0.358,0.437,0.365,111,-4.9,77.2,30.9,30.5,314,118.45479, ,
