Indiana Jones and the Journey of Innovation,Implementation,Featured,Basic Understanding,Scott Ellisæ,"America is on a journey of innovation to catalyze blended learning in schools nationwide. Join Scott Ellis, CEO of The Learning Accelerator, for a discussion of the progress we have made and what comes next: we have cultivated the enablers for scale like Internet connectivity and professional development, and over the coming months the focus will be on transforming teaching and learning in the classroom and then measuring impact. Bonus: discover how Indiana Jones will show us the path forward!",blended learning,competency-based education,CPE Credit
Can Hip Hop Save Us? Youth & School Culture,Instructional Strategies,Featured,Field Experience,"Audra The Rapper, Brian Mooney, James Miles, John Robinsonæ","Regardless of oneÍs nationality, ethnicity and/or social class, everyone is familiar with, and has knowledge of, hip hop. Yet, hip hop culture, which is youth culture, is stigmatized, marginalized and prohibited from school settings. If youth culture is deemed irrelevant, does that affect their academic achievement and their self worth? Is there a correlation to the high school graduation rate? This panel includes teachers, professors, and popular rappers who will pose this essential question: Can hip hopÍs presence in social media and pop culture be leveraged to prepare students for careers and college?",hip hop ed,educational equity,CPE Credit
The Rather Prize: The Best Idea to Improve TX Edu,Instructional Strategies,Featured,Basic Understanding,"Dan Rather, Martin Ratheræ","The Rather Prize is a $10k prize given to the person behind the best idea to improve education in the state of Texas. The statewide prize is open to students, teachers and administrators in Texas. During the session, the prizewinner will present their idea as part of a discussion with Dan Rather, TV journalist and Rather Prize co-founder, and Martin Rather, Rather Prize Operational Director. We will begin with a discussion of Dan Rather's Texan education, shifting to Martin Rather discussing the Rather Prize details and then the winner's presentation followed by an open Q&A.",rather,prize,CPE Credit
The Research University in the New Millennium,Instructional Strategies,Featured,Basic Understanding,"Christine Ortiz, Jeffrey Youngæ","For the last two hundred years, research universities have been engines driving human progress and have paved a pathway of opportunity for individual students, citizens, nations and humanity as a whole. Advances in the learning sciences, digital technologies and global collaboration provide an unprecedented and historic opportunity to re-envision the research university in the new millennium. This session will focus on key trends impacting the research university, examples of alternative prototype curricular models and a new design intended to advance intellectual and creative freedom and to accelerate learning, discovery, creation and invention well beyond existing frontiers.",research university,MIT,
10 & Change: Changing the Narrative for Black Boys,Leadership,Featured,Basic Understanding,Tim Kingæ,"In 2006, Tim King opened the first Urban Prep campus with a simple goal: improve the educational outcomes for African-American males. Since then, Urban Prep has achieved a 100% college acceptance rate for its graduates, grown from one school to a network of schools, created an innovative program supporting college students, launched a workforce development program and served over 2,000 young African-American males. On the 10th anniversary of opening the first school, Tim reflects on his journey as an educator, what it took to build the countryÍs first network of public charter high schools for boys and the secret to Urban Prep's success. (Hint: there's no secret)!",educational entrepreneurship,black boys,CPE Credit
How Universities are Crowdsourcing Innovation,Leadership,Featured,Basic Understanding,"Bernadette Gray-Little, Mark Becker, Michael Crow, Paul Fainæ","There was some eye rolling when 11 major public research universities (a sector normally competing in rankings and football) announced they were going to come together and share their successes and failures in order to scale innovation. Collaboration in education has not always delivered; but two years later, those 11 schools have developed a proven method to source and scale innovation. Come learn how 11 seeming ñfrenemiesî are closing the innovation gap to serve their students. TheyÍll talk about how they quickly test new technologies and approaches, share whatÍs working and deploy successful ideas across some of the largest universities in the country.",collaboration ,innovation,scale
A Conversation with Lizzie Velasquez,SEL,Featured,Basic Understanding,Lizzie Velasquezæ,"Join motivational speaker and author Lizzie Velasquez for an intimate conversation about her journey from cyber bullying victim to anti-bullying activist.  Lizzie will talk candidly about her experiences in school, giving the talk of her life and what she's learned over the last year from the success of her award-winning documentary, ""A Brave Heart: The Lizzie Velasquez Story."" Lizzie, a much sought after global speaker, will also discuss how we can all„students as well as parents„be activists for change.",bullying,brave,Lizzie
Effective SEL: From Classroom to Community,SEL,Featured,Basic Understanding,"Jessica Berlinski, Joseph Erardi, Joan Duffell , Jeremy Richmanæ","Kids come to school with a lot of feelings: fear, anxiety, abandonment and confusion. Educators teach SEL skills like empathy, persistence and problem-solving to support them, but too often kids find themselves on playgrounds, sports teams and even in homes where these skills are not valued or modeled. In this session, the panelists will share the four key components of Spark, a community-wide SEL initiative currently being implemented in Newtown, CT, including in-person SEL training, game-based assessment and personalized skill-building, community and parent training and brain health education. They will share how the components work together, how the speakers are ensuring they work and how these tactics can work for you!",social emotional learning ,community engagement,CPE Credit
Teaching Students to Think Like an Olympian,SEL,Featured,Basic Understanding,Steve Mesleræ,"Mentoring has long been known to demonstrably change outcomes for at-risk students. But what if the role model charged with mentoring students was the best in the world at their chosen field? Steve Mesler, three time Olympian and Olympic Gold medalist, co-founded an ecosystem that creates just that. Classroom Champions, an international mentoring and character development nonprofit, flips the classic mentoring model on its head. Steve will discuss how, through partnerships with educators, mentors can create powerful one-to-many mentoring relationships between the worldÍs greatest athletes and classrooms in underserved communities across North America.",olympians,technology,CPE Credit
Crowdsourcing a Children's Book About the Internet,Arts,Future15,Basic Understanding,Ioana Literatæ,"The vast majority of children's books about the Internet paint a bleak picture of addiction, cyberbullying, privacy abuse, catfishing, piracy and so on. In an effort to tell a different and more positive story, I successfully crowdsourced the writing and illustration of a children's book about digital culture (starring Hashtag the Snail!), collecting 4,200 creative submissions via Mechanical Turk. In this session, I describe the implementation and outcome of this creative experiment, and I present my conclusions about the conditions that best foster creative participation in large-scale educational projects online.",children's books,storytelling,digital content
Getting Youth Actively Involved Not Acting Out,Arts,Future15,Field Experience,Gage Cass Woodleæ,"For youth coming from at-risk situations, their futures can seem pretty bleak. Getting youth involved with and passionate about the arts is a way to engage, empower and prepare them for the real world; as technology advances we are constantly in need of new content creators and thats where we step in. This panel will illuminate the need for more arts education as well as the steps we are taking to help develop the next generation of creators. By providing the access and opportunity for these youth to experiment with cutting edge equipment in a safe environment with a supportive community, our youth not only learn technical skills necessary for production, but also critical life skills.",youth engagement,mentorship,filmmaking
Designing Environments to Increase Creativity,Cognitive Process,Future15,Basic Understanding,Amy Jorgensenæ,"The ability to switch from analytic thought mode to associative thought mode is critical to creativity, a skill known as contextual focus. When a person is in need of a solution, he/she must defocus attention and enter into more associative form of thought in order to make new connections. In this expansive state, one loosens thought structure to allow new ideas or insights to occur. In the modern day university or office environment, there are very few opportunities that foster a shift in state of mind. We are encouraged to focus, not de-focus. There are simple manipulations of space and sound that facilitate a shift in mental state and have been proven to lead to an increase in creativity. ",creativity ,problem solving,brainwave state
Media Design for Learners Using Multimedia Theory,Cognitive Process,Future15,Basic Understanding,Aaron Dewaldæ,"WeÍre going to delve into the learning science literature to talk about ways in which we can create educational media using learning science theory to best engage the cognitive processes of our learners. Specifically, weÍll talk about the objectives of learning science in digital learning and four principles that will inform and guide the development of online educational multimedia.",learning science,cognitive psychology,online learning
Rewriting the Story of Education,Cognitive Process,Future15,Basic Understanding,Austin Dannhausæ,"Stories have always shaped the way we make sense of the world. The use of narrative to assign meaning gives us an understanding of our culture, ourselves and our work. In education, what we tell ourselves about the methods and purposes pedagogy shape our learning environments. What if  better, truer stories could unlock new thinking about the future of education?",innovation,storytelling,learning
Adult Literacy: The Untold Key to Economic Success,Continuing Education,Future15,Basic Understanding,Shlomy Kattanæ,"Shockingly, 36 million adults in the U.S. lack basic literacy skills, as do millions more around the world. Adults who lack basic reading skills face reduced employment potential, hinder their childrenÍs learning and slow our economy. Estimates show $225 billion in lost U.S. productivity and tax revenue, and $230 billion in added annual health care costs. Existing outdated brick and mortar programs require classrooms and teachers and cannot possibly scale to meet the need of the millions of adults who need support. Shlomy Kattan will highlight XPRIZEÍs newest challenge to revolutionize adult learning. She will help us imagine a future where low-literacy adults can download an app on their own mobile device, and over the course of 12 months, see an increase in literacy skills across the board. Imagine: a paradigm shift in how we approach adult learning on a global level and empower adults to teach themselves, anytime and anywhere. ",adult literacy,XPRIZE,
Aging: The Opportunity For Continuing Education,Continuing Education,Future15,Basic Understanding,Judi Bonillaæ,"The headlines scream, ñMillennial generation is bigger, more diverse than boomers.î Another reads, î10 million Americans turn age 65 everyday.î What is missing from the headlines? A dialogue on the need for continuing education programs to introduce business and health promotion classes for adult learners of all ages. Continuing Education leaders are uniquely poised to bridge the information gap for an aging population. Remember, in 2050 as the youngest baby boomers reach age 85, their oldest millennial grandchildren will be ready to receive their AARP cards. ","adult education ",aging,generations
Careers Before Credentials,Continuing Education,Future15,Basic Understanding,Matt Williamsæ,"There is a boom in postsecondary pathway discussion, but the education and career credential options remain relatively limited. How can career education to move at the speed of business?This session will share different ways of thinking about what job ready means, the career training needed, and how continuing education will look in the coming years.",CTE,skills training,jobs
The Importance of Micro-Credentialing in Maker Education ,Continuing Education,Future15,Basic Understanding,Jessica Parkeræ,"Maker educator communities matter. With ever increasing opportunities to engage in maker activities, events, and meet-ups, (micro)credentialing can recognize and validate a growing ecology of peer-to-peer learning, a key tenant of maker education.  In this session, I share examples of continuing education opportunities that empower and connect maker educators and also highlight important issues such as access, equity, and professional networks.",maker education,professional development,mircro-credentials
Massive AI is Coming - You Ain't Seen Nothin' Yet!,Data Analytics,Future15,Basic Understanding,Andrew Mooreæ,"With Q&A technology powering Siri, Cortana, Google Voice Search, IBM Watson and others, ubiquitous Star Trek-style computers will soon be answering complex questions better than friends or experts. AI will open up exciting new opportunities in healthcare, learning, safety and convenience. We will show how AI works and prove that by embracing it, we can improve and save lives.",artifical intelligence,future,technology
What the Public Wants from Our Schools,Data Analytics,Future15,Basic Understanding,Joshua Starræ,"This session will present the most recent findings„and 47 years of trend data„of the annual PDK/Gallup poll on the public's attitudes towards public education. We have unique, compelling and unbiased data that should inform policy makers, leaders, the public and practitioners. Participants will gain a deep understanding of what parents and the public want from their schools. Our data also shows differences between demographic groups and is the starting point for a deep conversation about where our schools should focus in the future. ",public educaiton,data driven,historical perspective
Closing Tech Talent Gap with Adult Growth Mindsets,Educational Equality,Future15,Basic Understanding,Kathleen Mullaneyæ,"Consider the future of education age equality. We encourage children to adopt growth mindsets. Yet as adults we tend toward fixed mindsets, hindering our potential to adapt. This age bias widens the gap between limited tech talent and global job growth. People from all walks of life can gain new skills, but all too often would-be students wrongly assume that their chances for technical careers expired after college. This session will share the stories of three working professionals across three continents who overcame stereotypes and completely transformed their careers to become successful developers. Hear surprising new data on what works„and what doesn't„in technical online education.",adult education,diversity,growth mindset
Closing the Equity Gap,Educational Equality,Future15,Basic Understanding,Aurora Martinezæ,"This session will present a new lens through which to view and champion equity for all learners. Rather than viewing ñequityî in terms of dollars spent, the diverse needs of our students are best met when schools focus on innovation. This session will share ways in which meaningful innovation is supporting differentiation, making learning more equitable by supporting new instructional practices, encouraging data use, streamlining assessment and driving student engagement.",equity,differentiation,innovation
How Social Media Can Unlock StudentsÍ Potential,Educational Equality,Future15,Basic Understanding,Daniel Rogersæ,"The application of behavioral economics has taken the world by storm„but how can we leverage these lessons to improve education and create not simply educated, but capable students? Ted will explore how Moneythink, a nonprofit providing digital tools to increase financial literacy and capability in American youth, has created a social media app that leverages social networks to nudge students to make healthier financial decisions that in turn become lifelong habits. Join Ted as he shares examples from nonprofits and technology companies alike to learn how to leverage the behavioral economics of social media to not simply build knowledge, but build skills and healthy habits among students.",social media,behavioral economics,bridging the opportunity gap
Improvement: Learning Fast to Implement Well,Educational Equality,Future15,Field Experience,Alicia Grunowæ,"Learning to Improve, a new book by Bryk, Gomez, Grunow and LeMahieu, details how Networked Improvement Communities (NICs) offer a new model for improving our schools. It highlights how NICs„organized to solve a single shared problem„can accelerate improvements even further and actively engage many different individuals and institutions in the process. The authors offer a new paradigm for R&D in education, one where the field moves from ñimplementing fast and learning slowî to ñlearning fast to implement well.î Examples include reducing the high rates of failure among students in community college remedial math courses and strategies for improving feedback to novice teachers.",continuous improvement,improvement research,user centered design
Storytelling: The Key to Diversity in Education,Educational Equality,Future15,Basic Understanding,Virginia Cumberbatchæ,"Leslie Miley, the engineering manager who left Twitter over the way senior executives at the company were talking about diversity, is now the director of engineering at a recruiting software startup called Entelo. Entelo, which has over 350 customers, including tech companies like Box, Facebook, Uber, Tesla, Zenefits, Pinterest and Yelp, is a software platform that helps businesses recruit employees. A couple of years ago, the company introduced a diversity tool that enables companies to specifically search for women, racial minorities and veterans.",inclusion,storytelling,diversity
You Matter! Creating a Student Advisory Board,Educational Equality,Future15,Basic Understanding,Dana Grossman Leeman  æ,"Students matter, but may feel invisible to administration. How do students, online and on campus, partake in shared governance in order to improve the quality of a program and the student experience? In July 2014, Simmons College launched SocialWork@Simmons, an online Master of Social Work program. In 2015 all students were surveyed to assess their needs. One common theme emerged: a wish to have a collective voice. Program director, and professor, Dr. Dana Grossman Leeman shares her experiences working with students to create a Student Advisory Board, and how it was empowered to advocate on behalf of students with regard to curriculum, professional development and community building. ",higher education,students,online education
Apply Lean Startup To Your Program Idea,Entrepreneurialism,Future15,Basic Understanding,Lloyd Nimetzæ,"The Lean Startup process was designed primarily for tech companies and is tough to apply to programmatic models: e.g. after school programs or even a new school model. Program founders often first struggle to define their programs component by component and subsequently struggle to 1) ID key assumptions embedded in their program design and 2) prioritize and track which ones to test and validate. We created a Lean Program Canvas to help the dozens of program edupreneurs that we work with, and we'd like to share it with the education community to help you apply it to your own programs.",lean,design,entrepreneurship
CoffeeÍs for Closers: How to Succeed in Edtech,Entrepreneurialism,Future15,Basic Understanding,Paul Mummaæ,"Starting an EdTech company is not for the casual or short term entrepreneur. Education is a unique industry, and one where the contemporary tech ideals of disruption and rapid, iterative pace of development are often at odds with the more measured and entrenched traditions of academia and its layers of bureaucracy. For mission-driven companies, the opportunity to have meaningful and transformative effects on education outweighs the challenges, but passion alone canÍt drive success. This Future15 will address how to tackle the business behind the blackboard, including how to close deals, strike necessary partnerships, and develop long-term strategy for your company.",edtech,entrepreneurship,business development
"College, Career and Entrepreneur Ready",Entrepreneurialism,Future15,Basic Understanding,Jason Stambaughæ,"Nearly 40% of all students in grades 5-12 want to one day own a business. In order to meet this demand and prepare students to realize their entrepreneurial dreams, schools need to find innovative solutions to offer entrepreneurship education at scale without breaking the bank. During this session, you will learn how to implement one cost-effective solution that will reach and engage every student, while bridging the gap between your classrooms and community.",entrepreneurship,community,competition 
Connecting Edupreneurs to Creative Pros,Entrepreneurialism,Future15,Basic Understanding,Alli Dunnæ,"What do you do if you are a teacher who has an idea for a venture that involves tech? Where do you go? In an extremely connected world, education is profoundly disconnected. Many teachers are dissuaded from pursuing their tech solutions because they lack access to the expertise to bring it into reality. Outside of education lies a surplus of professionals with specialized skill sets that are interested in helping, but do not know where to go to apply their skills. This Future15 will cover strategies for breaking down the silos in and out of education, including building partnerships across industries, how you can use this in your community and what we have learned in New York City so far. ",edupreneurship,teacher-created,community building
