(Entrepreneurship) Mindset Matters,Cognitive Process,Core Conversation,Basic Understanding,"Brandon Busteed (Gallup), Kim Smith (NFTE)",Exploring the benefits of school age young people learning the entrepreneurial mindset. Recent research suggests that students who learn to think like entrepreneurs can do better in school and develop key employment skills for the jobs of the future.,Entrepreneurship can teach important non-cognitive life skills such as creativity and determination. ,Entrepreneurship can help students do better in other academic subjects such as math and writing.  ,Entrepreneurship can teach key workforce skills which will be in high demand in the coming job market. ,#entrepreneurship,#job,#skillsgap,http://steinhardt.nyu.edu/scmsAdmin/media/users/spa2/NFTE_Final_Report_February_2015b.pdf,,,
If They Ask It They Will Learn,Cognitive Process,Core Conversation,Basic Understanding,Chris Fancher (Meridian World School),"A good teacher asks multiple questions throughout a class period as she formatively assesses her students knowledge. A great teacher will get a list of questions his students have about a topic and will create a plan - with the students - to get answers to these questions. And, this great teacher will encourage daily input of additional questions to be answered until everyone in the room feels that the topic has been appropriately addressed.Come experience this process as we generate questions to be answered by the attendees; we tackle the answers to these questions; and we create a plan to use this process in our classrooms.",Understand the importance of pursuing student-generated questions about a topic as a way to go deeper with learning.,Learn a process to help students create questions that become personal learning goals for that student.,See how to take this questioning process and create a foundation for inquiry in your classroom.,questioning,inquiry,engaged,http://rightquestion.org/education/,,,
Specially Designed Instruction by Design,Cognitive Process,Core Conversation,Basic Understanding,"Kathy Clayton (Ed21 Consulting Services), David Carrales (Ed21 Consulting Services)",Specially designed instruction (SDI) is the linchpin of special education services. The implementation of SDI can be difficult to achieve especially in general education classrooms.  Participants will be introduced to the application of design thinking methodology and how it can effectively address the delivery of specially designed instruction to students with disabilities.  A case study will be presented to illustrate the use and value of this model in the K-12 educational environment.,"Understand Specially Designed Instruction",Understand the basics and application of Design Thinking Methodology,Understand the Value of the Use of Design Thinking in implementing services for students with disabilities,special education services, specially designed instruction,design thinking,http://www.ed21cs.com/sdi/,,,
Students as Global Entrepreneurs Thru 3 Big Pivots,Cognitive Process,Core Conversation,Basic Understanding,"Yong Zhao (University of Oregon), Homa Tavangar (Growing Up Global)","As follow-up to best-selling World Class Learners, a team of diverse educators collaborated to take this idea to implementation, exploring a radical approach: Students as global entrepreneurs. Instead of imposing a just-in-case, preparing-for-employment mindset, our research confirms we should cultivate creative, entrepreneurial thinkers: learners that are ALERT to possibilities. This calls for 3 key elements: student-driven learning that nurtures curiosity, strengths & passions; product-driven learning that solves real challenges for authentic audiences; and school as a global classroom where learning is expansive, responsive and collaborative. Join us to explore how to create these shifts.","How can teaching pivot to allow entrepreneurial thinking to flourish by nurturing student-driven, self-directed learning?",How to take project-based learning to the next step and spur product-oriented learning? How can product-oriented learning be applied to any topic?,"How can any classroom become a global classroom, and why does it matter?",student centered learning,project based learning,global education,,https://www.youtube.com/watch?v=Wk--J3E8yqc,,
Thinking Like a Programmer: The Next Literacy,Cognitive Process,Core Conversation,Basic Understanding,"Stacy Sniegowski (Mobile Makers Academy), Jessi Chartier (Mobile Makers Academy)","Demand for software developers is skyrocketing, so new coding classes and bootcamps for teens and adults are answering the call. As more people learn valuable programming skills, can they improve success across disciplines and workplaces? Does learning to approach problems like a developer afford learners critical thinking skills, social and emotional competencies, and cutting-edge literacies? Join us in this core conversation as we use data and research to explore how things inherent to coding - iterative development, grit, resourcefulness, curiosity, problem solving, and adaptability - may improve motivation, academic progress, and life-long learning in both adolescents and adults.","Review data and research findings to explore the usefulness of Agile project management in learning, regardless of area of study.",Investigate how the problem-solving cycle of software development directly addresses the NCTE_s definition of 21st Century Literacies. ,Analyze how SEL skills fostered in software development - such as growth mindset and embracing failure -  can improve student success.,sel,coding,instructional strategies,http://mobilemakers.co/sxsw-edu,,,
Adult Literacy: The Untold Key to Economic Success,Continuing Education,Core Conversation,Basic Understanding,Shlomy  Kattan (XPRIZE),"36 million adults in the U.S. lack basic literacy skills, as do millions more around the world. Adults who lack basic reading skills face reduced employment potential, hinder their children_s learning and slow our economy. Estimates show $225 billion in lost U.S. productivity and tax revenue, and $230 billion in added annual health care costs.Shlomy Kattan will highlight XPRIZE_s newest challenge to revolutionize adult learning, and help us imagine a future where low-literacy adults can download an app on their own mobile device, and in over the course of 12 months, see an increase in literacy skills across the board. Imagine: a paradigm shift in how we approach adult learning globally.","1.	Can we create mobile applications that will put learning tools in the hands of those who need them most, so learning can happen anytime, anywhere?","2.	What could the future look like with more than 30 million additional adults minds empowered to tackle the world_s grand challenges?","3.	How will the adult education industry change when we put learning tools directly in the hands of adult learners, allowing 24/7 access? ",literacy,adult education,xprize,,https://www.youtube.com/watch?v=ar5uE2vRutg,,
Building a better corporate-academic partnership,Continuing Education,Core Conversation,Basic Understanding,"Karl McDonnell (Strayer Education, Inc.)","Education and business must be linked in order to maintain America_s competitive edge. Karl McDonnell, CEO of Strayer Education, Inc., will discuss the why and how of effective corporate-academic partnerships and provide a peek into the inner workings of a national program that was recently reimagined to fit both employer and employee needs. In addition to workforce-integrated learning, he will discuss destigmatized vocational training, sub-degree tracks and other skills-based solutions. The goal is to spark a dialogue around education_s critical role in developing tomorrow_s talent.",Describe how uniting higher education and business can help close the ever-widening skills gap in the United States. ,"Identify accessible, relevant and tangible models for building better corporate-academic partnerships.","Explain how free college degree programs are an example of work-integrated learning that benefits employees, employers, and the corporate ecosystem.",education,business,partnerships,https://vimeo.com/134226705,,https://vimeo.com/134226705,
How Online Ed Will Create a More Skilled Workforce,Continuing Education,Core Conversation,Deep Understanding,Daphne Koller (Coursera),"Access to education has come farther in the past four years than it has in the past 1,000 years. People around the world are now able to access the world_s best education, thanks to an internet connection and the efforts of many dedicated educators. Today, online education is reaching millions around the world, and is teaching much more than calculus; it_s giving rise to new data scientists and designers, entrepreneurs and business leaders for whom daily doses of on-demand online courses have opened new career possibilities. Hear from Coursera, the company that has pioneered this movement, about how open online education will create lifelong learners of us all. ","Learn how universities are using online platforms to help close skills gaps globally.","Learn about the needs of online learners and how educators can evolve their offerings to satisfy new demands for education throughout a lifetime.","Learn about the current research around the efficacy of online learning.",higher education,ed tech,skills gap,https://drive.google.com/a/launchsquad.com/file/d/0B0K7smXelWIGRlNpWXNIeE0zbjA/view,,,
Learning for the Job,Continuing Education,Core Conversation,Basic Understanding,"Kari Tarr (Airbnb), Zane Claes (Airbnb)","Changing roles at a company often involves a self-directed learning process. At Airbnb, it_s common for people to teach themselves new things and move into different roles. We_ve even recently had our first-ever move into the engineering department (from Finance) by a self-taught programmer.The other speaker, Zane, has spent the last 10 years researching effective learning strategies and writing to help people make transitions just like these. Trying to self-manage a learning curriculum which will set you up for success in a new role can be a full-time task. This session will cover how to set up your own growth plan, find and evaluate learning resources, and ultimately land your new job.",How to set up a personal learning plan,"How to find, evaluate and use the best learning resources","How to use your new skills to change jobs, paths or careers",learning and work environments,learning,job training,http://lifebyexperimentation.com/,https://www.youtube.com/watch?v=XC-Im_kRPxM,,
Leveraging Digital Tools for Self-Directed PLCs/PD,Continuing Education,Core Conversation,Basic Understanding,Jon Maxwell (Katy Independent School District),"Join us for this empowering session to uncover a unique professional development structure to actively engage teachers and campus leadership for focused, individualized improvement via digital tools. Dynamic dialogues will be conducted to empower educators in overcoming the challenges of initiating change. Teacher driven PD combined with digital PLCs ensure that every school and teacher focus on their specific needs to provide unparalleled learning experiences. Through the use of online tools educators are able to share resources, information, and personal experiences to improve instruction and foster a community of sustainable professional development focused on student success.","Educators will take away new practices and strategies, based on their data, to determine next steps & goals for immediate growth and sustained action.","The digital opportunities will ignite participants to develop online professional learning communities, based on individual need and relevant data.","The cyclical approach for PD will provide a road map for educators to follow, allowing them to synthesize data and develop a personalized action plan.",professional development,digital learning,professional learning communities,https://groups.google.com/d/forum/digital-plcs-for-educators,,,http://www.slideshare.net/M0301587/leveraging-digital-tools-for-selfdirected-pd-or-plcs
Making Web Literacy the Fourth _R_ in Education,Continuing Education,Core Conversation,Deep Understanding,Mark Surman (Mozilla Foundation),"In today_s digital world, the ability to explore, create and connect online isn_t an inherent part of our education system. Web literacy is a critical skill that kids, and many adults, need to learn and sharpen _ they_re constantly online, using digital tools and devices to consume, but not to create. By 2025, almost 5 billion individuals will be online _ up from the 2.9 billion currently on the Web. If equipped with Web literacy education, these new Internet users could unlock tremendous social and economic opportunities. Mark will discuss the importance of Web literacy and explore examples. ",Inform people of the magnitude of the web literacy gap that exists today,Provide an actionable approach to addressing it and highlight real-world examples of these learning tools in use,Outline the social and economic impact of reducing web literacy,education,web literacy,early literacy, http://videos.blinktower.com/medias/nmksm8hd6t   ,https://www.youtube.com/watch?v=oko6TzPQE6Y , ,
"Professional Development Online, Done Well!",Continuing Education,Core Conversation,Basic Understanding,"Nicole Dragisic (Region 18 Education Service Center), Leti Sandoval (Region 18 Education Service Center)","Learn how to use a learning management system (LMS) to create easily digestible professional development (PD) pieces to address immediate needs. These highly accessible PD sessions can be completed during conference periods or breaks. Begin to engage the balance of communities around PD content areas that foster collaboration and PD requests.Review conscientious research around the utilization of an LMS with adult learners in compulsory and non-compulsory learning environments. Leverage marketing strategies in the delivery of learning objectives in a way that will critically connect with adult learners. ",Utilize the latest conscientious research to create effective professional development for educators within an LMS.,Foster evangelist communities around PD topics.,Appropriate a marketing mentality to ensure educators are implementing PD concepts within their classroom.,professional development,elearning,online learning,,https://youtu.be/JCmHfosE5dI,,
Success with Microcredentialing in Maker Education,Continuing Education,Core Conversation,Basic Understanding,"Lisa Regalla (Maker Ed), Jessica Parker (Sonoma State University)","Peer communities matter. With ever-increasing opportunities to engage in maker events and activities, micro-credentialing recognizes and validates a growing ecology of diverse professional learning opportunities that support peer-to-peer learning, a key tenant of maker education. This talk will engage participants in a discussion around the value of micro-credentialing within maker education and also share points of opportunity, such as access, equity, and partnerships, as well as discord within the Maker Movement. We will highlight the Maker Certificate Program at Sonoma State University and Maker Ed_s Make Corps program as examples micro-credentialing within informal learning.",Gain a greater understanding of the opportunities and challenges of micro-credentialing within maker communities. ,Gain insight on how micro-credentials recognize and validate learning on multiple levels. ,Leave with ideas of potential partnerships to explore how micro-credentials could fit within your maker educator community.,maker education,microcredential,professional learning,http://www.thestartupclassroom.org/ourgrowingmovement,,,
Teachers Need Personalized Learning Too,Continuing Education,Core Conversation,Basic Understanding,"Sebastian  Cognetta (Aveson Charter Schools), Kate Bean (Aveson Charter Schools)","How can teachers be expected to personalize learning for students when their own learning is presented in a decades old model where everyone learns the same content, in the same room and at the same time? How can we expect them to deliver learning differently when they are not taught in a way that honors their individual strengths and challenges? This conversation will address current professional development models and provide a framework for developing personalized mastery learning experiences that will change educators_ mindset about their own learning, help them experience personalized mastery learning for themselves and be prepared to offer it to their students.","Identify the mindset and processes required to shift classrooms, schools and teacher training to a more personalized learning experience for all.  ",Study and discuss one school_s journey to ensuring Personalized Mastery Learning for students & Personalized Professional Development for educators.,"Explore components of Personalized Professional Development, identify individual goals & plans to personalize learning for themselves & their students",personalized learning,teacher education ,professional development,https://www.youtube.com/watch?v=qKbyYU9mhbE&feature=youtu.be,https://www.youtube.com/watch?v=CwWUCkQ0wb0,,
"The Past, Present & Future of Learning Exchange",Continuing Education,Core Conversation,Basic Understanding,"David Brake (LRNGO, INC.)","In 1970, Denis Detzel returned to Chicago from Mexico after attending a series of educational seminars that took place at Ivan Illich's Center for Intercultural Documentation (CIDOC), and co-founded the Learning Exchange (TLE) with G. Robert Lewis at Northwestern University.  What happened next was a ten year odyssey of connecting people to teach and learn from each other that grew to 30,000 strong locally, and helped spawn a movement that grew to roughly 300,000 nationally.  The technology they used?  Hand-written 3x5 cards and a telephone.  Could there be a need for a movement like this today?",Participants will be introduced to the learning exchange concept and history of the learning exchange movement.,Participants will discuss benefits and challenges of scalable one-to-one learning systems in the context of bridging inequities in adult education.,"Participants will discuss the human dynamic & reciprocity of one-to-one learning, and whether people can improve as teachers & learners by practicing.",skills,shareable solutions,social change,https://docs.google.com/document/d/1sVChNZUxwT_UZsa7OFDKwRAnDQkmf1kAcU1AvEN8MjM/edit?usp=sharing,https://www.youtube.com/watch?v=Tkak57WaABk,,https://www.slideshare.net/secret/yqI3tFLTGCHNKV
The State of the University,Continuing Education,Core Conversation,Basic Understanding,"Jeffrey Selingo (Georgia Institute of Technology), Richard DeMillo (Georgia Institute of Technology)","What_s broken in American universities and how can we save them? With college debt at an all-time high and record numbers of students looking for alternatives to the traditional experience, the long-established higher education system in American is in trouble. But what can educators and concerned parents do to save a system in sharp decline? Hear Rich DeMillo, the Director of Georgia Tech_s Center for 21st Century Universities, and Jeff Selingo, a journalist and author of College (Un)Bound, explore the state of today_s university and the ways that technology and education champions are turning the tide for higher education in America.",Gain an understanding of the specific issues that are plaguing the American university system.,Learn about the _band of innovators_ who are seeking alternatives to the traditional university experience.,Explore a new vision for the future of American universities.,higher education,online education,partnerships,https://youtu.be/4JyvKkLrSEM,https://youtu.be/d1UvHPnWC5Q,,
Big Data in Education,Data Analytics,Core Conversation,Basic Understanding,"Jose Blackorby (SRI International), Martin Mckay (Texthelp)","We live in the age of big data. Google anticipates what we want to search for while Amazon anticipates what we want to buy. Now, thanks to cloud based learning tools this information is becoming available in the world of education. This gives us access to how millions of students are using online tools and if they are making a difference. The speakers will discuss how big data is opening up a new world of research opportunities and what that means for educators, students and software developers in the not too distant future.",Learn how big data is becoming part of the education market.,Identify the types of data now available in education settings.,Summarize how this new information can impact student performance and software development.,education,big data,learning analytics,https://drive.google.com/a/texthelp.com/file/d/0B-8Jb0hGgqCrZTZVa1MxWDN1d00/view,,,
Data detectives- the equation on school choice,Data Analytics,Core Conversation,Field Experience,"Elisabeth O'Bryan (GreatSchools.org), India Swearingen (GreatSchools.org)","Choosing a school for a child is one of the most important decisions a parent can make. But what surprising things do families value when choosing the best school?ÿWe've learned a lot about what parents, teachers and school officials value most in a great school and would love to unearth mysteries including:1) The surprising things parents really value when it comes to choosing a school for their child.2) Why do school officials like to keep tabs on ""competition""?3) Do people only write reviews when they are upset (hint: you'd be surprised)? Through analysis of web data, customer feedback and text analysis of school reviews, GreatSchools' sheds light on these mysteries.ÿ",Participants will understand the reasons behind the decisions that families make about schools through data and analysis.,Participants will understand how they can use this data to support their own admissions process.,Participants will understand what's trending for parents and school searchers.,parents,data,web,https://public.tableau.com/views/GreatSchoolsSchoolSearchDashboardSxSWedu/SchoolProfileDashboard?:embed=y&:display_count=yes&:showTabs=y,https://youtu.be/yhRHnXZGG3M,,
Data Driven Instruction- Leaving Excel at Home,Data Analytics,Core Conversation,Basic Understanding,"John Ruff (ScribeSense), Kerry Gallagher (St. John's Preparatory Academy )","If you_re an educator, you know the drill. You arrive at a faculty meeting only to discover the topic is data-driven analysis. You can feel your eyes glaze over and your brain switch into hibernation mode. But wait! Data is not a dirty word. Teachers have the power to gather, analyze, and inform instruction from data they create with their students in their classrooms. Rather than thinking of data as a giant spreadsheet sent down from state-mandated testing agencies, educators should feel empowered to use data to transform learning for the children they serve every day. If you_ve ever tried exit tickets, you_ve used data. Data-driven instructional planning can be easy, and we will show how.",Teachers will be able to leave the session with at least 3-4 tools that they can take back to their classrooms and utilize to become data driven.,"Teachers will understand why using data in the classroom daily is important, and easier than they ever imagined.",Administrators will understand what key components must be present for their end-users (teachers) when determining what tools to purchase.,data analytics,data-driven decision making,edtech,http://www.ted.com/talks/david_mccandless_the_beauty_of_data_visualization?language=en,,,
How Twitter is Changing The Politics of Education,Data Analytics,Core Conversation,Basic Understanding,"Alan Daly (UC San Diego), Jonathan Supovitz (Consortium for Policy Research in Education)","The authors presents an interactive website in which they analyzed almost 200,000 tweets containing #commoncore over a key 6-month period of shifting public opinion in order to understand how twitter is influencing the politics of education. We start by examining the gigantic network of ~50,000 distinct tweeters using a social network perspective that emphasizes how peoples' twitter behavior groups them into distinct sub-communities.  We then hone in on the most influential actors, analyzing their tweet content and the language that they use to convey their messages. The talk concludes with a discussion of the changing role of media, social interactions, and education policy formation. ",How social media like Twitter are changing the debate around education policies that influence the policy making. ,Ways in which we can analyze Twitter from a multi-dimensional perspective. ,The importance of taking a social perspective when examining education reform activities.,twitter isn't dead,politics,social networks,www.hashtagcommoncore.com,,,
The Big Bang Theory of Student Data Impact,Data Analytics,Core Conversation,Basic Understanding,Kelly Calhoun (Gartner),"The universe of K12 student educational data has exploded in size and complexity, as new demands come into play.  Student information systems, learning management systems, instructional management systems _ definitions are in flux, and CIOs are faced with building an ecosystem that makes sense for a future of personalized learning and adaptive technologies.  A new, broader view of the student data universe is needed to help develop those strategies of the future.  ",Audience will gain insight into the future directions of student data and how to strategize for that,Audience will gain insight into potential new learning technologies and how they might fit in this new data environment,"Audience will gain insight into the growing significance of analytics in education, and how this will shape the data demands of the future.",#studentdata,#bigdata,#futureready,www.gartner.com,,,
Using Data to Improve Education Outcomes,Data Analytics,Core Conversation,Basic Understanding,"Jessica  Wodatch  (Two Rivers Public Charter School), Scott  Pearson  (DC Public Charter School Board )","PCSB and DC Public Charter Schools are _trend-setters_ in the field of educational data collection and information management. The Board and the schools have worked hard to set up systems of data collection that allow for easy public access to information about the DC education system, improved data analysis and information gathering for school programs, as well as for overall improved systems management for each school campus and the board. ",Provide the audience with examples of these new systems and feedback on how to implement them in their own schools/businesses. ,Provide the audience with the skills needed to analyze data. ,Provide the audience with tools that they can use to convert these skills to all aspects of their professional life. ,education,data analysis,,https://data.dcpcsb.org ,,,
Using data to improve school climate,Data Analytics,Core Conversation,Basic Understanding,Lorna Hermosura (edMosphere),"Research shows that a positive school climate is related to higher student attendance, higher student motivation, improved academic achievement and fewer disciplinary problems. School climate is dynamic. It differs from day to day and from one student to another. But most school climate measurement tools are administered just once per year and to a random sampling of students. This workshop will demonstrate the value of using real-time technology to regularly connect with every student on how they experience school. ","Attendees will learn how about edMosphere, a real-time technology tool that engages every student around school climate issues. ",Attendees will hear how a teacher and a principal implemented edMosphere to improve school climate and student outcomes. ,Attendees will learn about the benefits of using real-time technology to proactively address student needs. ,school climate,student voice,technology,,https://www.youtube.com/watch?v=eGFHyjuDD5I,,
What the Pell? New Data on Pell Grad Rates,Data Analytics,Core Conversation,Basic Understanding,"Lynn Jennings (The Education Trust), Andrew Nichols (The Education Trust)","For the first time ever, data on the college completion outcomes for students who receive a Pell Grant have been compiled for roughly 1,200 institutions across the United States.This groundbreaking report presents hard-edge data on why improving college outcomes for low-income students is critically important for our nation_s health and economic mobility. Researchers from The Education Trust will present the data, including case studies of specific institutions, and recommend policy changes that can help improve outcomes for low-income students.","Understanding of the new data, its utility and limitations",Meaningful discussion of the state of higher education outcomes for low-income students,Policy recommendations to improve collection and access of Pell Grant student outcomes to better inform future policy debates,education policy,college graduation,low-income students,http://edtrust.org/the-equity-line/pell-u-va-can-selective-without-exclusive/,,,
Yelp as a Platform for Open Data,Data Analytics,Core Conversation,Basic Understanding,"Susan DeVore (Premier, Inc.), Luther Lowe (Yelp)","Open government has made data more available, but it_s still hard to find this information. What happens when the sites people already use, like Yelp, ingest public data and make it more discoverable? Consumers have more info, businesses are held more accountable, and everybody wins. Yelp data can also make governments smarter, help businesses and industries improve, and positively impact economies. From sharing medical statistics and Department of Education data to tracing foodborne illness, there_s huge potential for good through more open data.",To show why open data is more effective by putting information in places consumers are already searching for it online. ,To understand how insights from companies like Yelp can be used to improve local economies and fuel research into consumer behavior. ,To understand the impact on businesses of making public information like restaurant health scores and ER wait times easy to find online. ,health care,open data,government data,http://officialblog.yelp.com/2013/01/introducing-lives.html,,,
